Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,Target
0,298.3,309.1,1616,31.1,195,0,1,0,0,0,0,0
0,298.2,308.4,1388,53.8,137,0,1,0,0,0,0,0
0,298.2,307.8,1528,31.1,194,0,1,0,0,0,0,0
1,300.9,310.8,1599,33.0,7,0,1,0,0,0,0,0
0,301.4,310.5,1571,33.9,208,0,1,0,0,0,0,0
0,300.5,310.5,1373,47.4,56,0,1,0,0,0,0,0
1,297.3,308.8,1469,44.1,150,0,1,0,0,0,0,0
0,300.8,311.7,1655,32.2,12,0,1,0,0,0,0,0
0,301.7,310.9,1608,33.0,160,0,1,0,0,0,0,0
0,298.5,308.2,1654,27.1,13,0,1,0,0,0,0,0
0,301.5,311.1,1459,45.1,97,0,1,0,0,0,0,0
0,298.4,308.3,1433,62.3,20,0,0,0,1,0,0,1
0,299.0,308.7,1706,28.6,206,0,1,0,0,0,0,0
2,300.8,310.5,1582,31.1,193,0,1,0,0,0,0,0
0,299.1,310.3,1459,46.7,84,0,1,0,0,0,0,0
2,300.1,309.6,1463,45.1,113,0,1,0,0,0,0,0
0,299.9,311.3,1535,38.1,160,0,1,0,0,0,0,0
0,298.8,309.8,1509,36.2,57,0,1,0,0,0,0,0
0,303.0,311.2,1735,26.1,194,0,1,0,0,0,0,0
0,298.3,309.0,1408,45.4,98,0,1,0,0,0,0,0
0,298.2,309.0,1353,57.8,89,0,1,0,0,0,0,0
2,300.9,311.3,1295,58.9,77,0,1,0,0,0,0,0
0,301.1,310.1,1666,27.2,40,0,1,0,0,0,0,0
1,296.9,307.5,1332,51.1,121,0,1,0,0,0,0,0
0,301.5,310.5,1927,22.4,149,0,1,0,0,0,0,0
0,298.4,309.2,1610,32.4,194,0,1,0,0,0,0,0
0,298.4,308.7,1523,36.1,126,0,1,0,0,0,0,0
1,303.5,312.9,1618,30.4,130,0,1,0,0,0,0,0
0,298.2,308.0,1658,30.0,3,0,1,0,0,0,0,0
0,297.5,308.8,1477,39.0,127,0,1,0,0,0,0,0
0,303.6,312.4,1418,46.0,128,0,1,0,0,0,0,0
0,300.0,311.4,1483,45.6,187,0,1,0,0,0,0,0
1,298.7,309.8,1343,53.6,134,0,1,0,0,0,0,0
1,297.9,309.0,1530,40.9,42,0,1,0,0,0,0,0
1,303.1,311.4,1831,23.3,161,0,1,0,0,0,0,0
1,300.1,309.5,1462,42.8,50,0,1,0,0,0,0,0
0,298.5,309.3,1623,33.1,109,0,1,0,0,0,0,0
0,302.3,311.3,1439,41.8,96,0,1,0,0,0,0,0
1,298.5,308.6,1384,54.4,44,0,1,0,0,0,0,0
0,298.7,309.7,1667,30.4,92,0,1,0,0,0,0,0
1,302.2,310.1,1572,34.6,17,0,1,0,0,0,0,0
0,298.5,309.6,1419,41.5,105,0,1,0,0,0,0,0
2,302.0,309.8,1280,57.3,147,1,0,0,0,0,0,1
1,300.4,310.4,1544,36.3,21,0,1,0,0,0,0,0
0,302.5,311.5,1677,29.2,49,0,1,0,0,0,0,0
2,302.2,311.8,1330,62.4,31,0,1,0,0,0,0,0
0,297.7,308.8,1896,24.5,186,0,1,0,0,0,0,0
1,299.1,308.6,1499,45.1,185,0,1,0,0,0,0,0
0,298.6,308.4,1485,42.9,38,0,1,0,0,0,0,0
0,304.2,313.4,1644,31.7,23,0,1,0,0,0,0,0
1,298.2,309.1,1457,49.0,77,0,1,0,0,0,0,0
1,301.9,309.6,1551,34.6,211,0,1,0,0,0,0,0
0,297.4,308.8,1462,49.7,132,0,1,0,0,0,0,0
0,302.6,310.8,1486,36.4,160,0,1,0,0,0,0,0
0,301.3,311.1,1413,42.0,221,0,1,0,0,0,0,0
1,301.7,310.8,1516,40.4,48,0,1,0,0,0,0,0
1,300.0,310.2,1393,51.2,190,0,1,0,0,0,0,0
0,297.6,308.7,1622,37.9,79,0,1,0,0,0,0,0
0,299.5,308.8,1965,20.4,164,0,1,0,0,0,0,0
1,302.0,311.5,1366,52.3,54,0,1,0,0,0,0,0
0,296.9,307.7,1550,39.7,124,0,1,0,0,0,0,0
0,302.4,310.8,1686,28.8,150,0,1,0,0,0,0,0
0,297.0,307.9,1493,46.1,173,0,1,0,0,0,0,0
0,302.9,312.5,1683,32.1,85,0,1,0,0,0,0,0
0,300.0,311.2,1504,37.9,58,0,1,0,0,0,0,0
2,300.0,309.5,1781,24.9,70,0,1,0,0,0,0,0
1,298.8,310.1,1585,31.3,147,0,1,0,0,0,0,0
0,298.3,309.4,1570,35.6,138,0,1,0,0,0,0,0
0,298.2,307.9,1847,23.6,69,0,1,0,0,0,0,0
0,298.5,308.3,1811,24.7,27,0,1,0,0,0,0,0
2,297.8,309.0,1410,48.8,23,0,1,0,0,0,0,0
0,300.1,309.4,1434,47.3,127,0,1,0,0,0,0,0
0,298.0,308.6,1430,57.0,43,0,1,0,0,0,0,0
1,302.4,311.1,1480,45.7,200,0,1,0,0,0,0,0
1,300.6,309.8,1694,31.1,187,0,1,0,0,0,0,0
