iter	Passed	Remaining
0	138	13723
1	144	7079
2	150	4870
3	156	3762
4	163	3114
5	170	2673
6	176	2349
7	184	2119
8	190	1930
9	197	1780
10	204	1654
11	211	1550
12	217	1455
13	222	1367
14	229	1299
15	237	1244
16	243	1190
17	249	1136
18	256	1092
19	263	1053
20	269	1011
21	275	977
22	280	940
23	285	904
24	290	872
25	294	839
26	299	809
27	303	781
28	307	753
29	311	727
30	316	704
31	320	681
32	324	658
33	329	638
34	333	618
35	337	599
36	341	580
37	346	564
38	350	547
39	354	531
40	359	516
41	363	502
42	367	486
43	371	473
44	376	460
45	380	446
46	384	433
47	388	420
48	392	408
49	396	396
50	401	385
51	405	374
52	409	362
53	413	351
54	417	341
55	421	331
56	425	320
57	429	311
58	434	301
59	437	291
60	442	282
61	450	275
62	454	266
63	459	258
64	463	249
65	470	242
66	475	233
67	479	225
68	484	217
69	489	209
70	494	201
71	498	193
72	503	186
73	508	178
74	513	171
75	518	163
76	522	156
77	527	148
78	532	141
79	536	134
80	541	127
81	546	119
82	550	112
83	555	105
84	560	98
85	564	91
86	568	85
87	573	78
88	578	71
89	582	64
90	587	58
91	591	51
92	596	44
93	600	38
94	605	31
95	609	25
96	614	18
97	618	12
98	622	6
99	628	0
